Words read 81885
239.) sparks, 10/19 valid (52.63%)
240.) spates, 10/19 valid (52.63%)
241.) spawns, 10/19 valid (52.63%)
242.) stares, 10/19 valid (52.63%)
243.) swashes, 13/25 valid (52%)
244.) hallowed, 17/34 valid (50%)
245.) rehashes, 16/32 valid (50%)
246.) bemused, 13/26 valid (50%)
247.) bishops, 13/26 valid (50%)
248.) slashed, 13/26 valid (50%)
249.) smashed, 13/26 valid (50%)
250.) sashays, 12/24 valid (50%)
251.) adores, 10/20 valid (50%)
252.) atoned, 10/20 valid (50%)
253.) atones, 10/20 valid (50%)
254.) avowed, 10/20 valid (50%)
255.) braids, 10/20 valid (50%)
256.) chides, 10/20 valid (50%)
257.) clamps, 10/20 valid (50%)
258.) clawed, 10/20 valid (50%)
259.) flashy, 10/20 valid (50%)
260.) flawed, 10/20 valid (50%)
261.) flowed, 10/20 valid (50%)
262.) gashed, 10/20 valid (50%)
263.) glowed, 10/20 valid (50%)
264.) haired, 10/20 valid (50%)
265.) harems, 10/20 valid (50%)
266.) lapins, 10/20 valid (50%)
267.) masher, 10/20 valid (50%)
268.) matins, 10/20 valid (50%)
269.) paired, 10/20 valid (50%)
270.) pantie, 10/20 valid (50%)
271.) plowed, 10/20 valid (50%)
272.) remits, 10/20 valid (50%)
273.) scared, 10/20 valid (50%)
274.) shared, 10/20 valid (50%)
275.) showed, 10/20 valid (50%)
276.) sloped, 10/20 valid (50%)
277.) slowed, 10/20 valid (50%)
278.) spayed, 10/20 valid (50%)
279.) stared, 10/20 valid (50%)
280.) stowed, 10/20 valid (50%)
281.) washed, 10/20 valid (50%)
282.) lassos, 9/18 valid (50%)
283.) madame, 9/18 valid (50%)
284.) sashay, 9/18 valid (50%)
285.) adore, 7/14 valid (50%)
286.) aired, 7/14 valid (50%)
287.) amide, 7/14 valid (50%)
288.) amuse, 7/14 valid (50%)
289.) antic, 7/14 valid (50%)
290.) atone, 7/14 valid (50%)
291.) bared, 7/14 valid (50%)
292.) bares, 7/14 valid (50%)
293.) betas, 7/14 valid (50%)
294.) bison, 7/14 valid (50%)
295.) bowed, 7/14 valid (50%)
296.) brads, 7/14 valid (50%)
297.) brand, 7/14 valid (50%)
298.) brash, 7/14 valid (50%)
299.) cared, 7/14 valid (50%)
300.) cares, 7/14 valid (50%)
301.) chide, 7/14 valid (50%)
302.) clamp, 7/14 valid (50%)
303.) clash, 7/14 valid (50%)
304.) cowed, 7/14 valid (50%)
305.) dopas, 7/14 valid (50%)
306.) fated, 7/14 valid (50%)
307.) faxed, 7/14 valid (50%)
308.) fired, 7/14 valid (50%)
309.) fires, 7/14 valid (50%)
310.) flash, 7/14 valid (50%)
311.) fores, 7/14 valid (50%)
312.) glads, 7/14 valid (50%)
313.) gored, 7/14 valid (50%)
314.) gores, 7/14 valid (50%)
315.) hared, 7/14 valid (50%)
316.) harem, 7/14 valid (50%)
317.) hares, 7/14 valid (50%)
318.) hated, 7/14 valid (50%)
319.) hayed, 7/14 valid (50%)
320.) hired, 7/14 valid (50%)
321.) hires, 7/14 valid (50%)
322.) hoped, 7/14 valid (50%)
323.) laced, 7/14 valid (50%)
324.) laden, 7/14 valid (50%)
325.) lamed, 7/14 valid (50%)
326.) lamps, 7/14 valid (50%)
327.) lapin, 7/14 valid (50%)
328.) lawns, 7/14 valid (50%)
329.) loped, 7/14 valid (50%)
330.) lores, 7/14 valid (50%)
331.) maced, 7/14 valid (50%)
332.) manor, 7/14 valid (50%)
333.) mason, 7/14 valid (50%)
334.) mated, 7/14 valid (50%)
335.) maxed, 7/14 valid (50%)
336.) mayor, 7/14 valid (50%)
337.) menus, 7/14 valid (50%)
338.) mired, 7/14 valid (50%)
339.) mires, 7/14 valid (50%)
340.) mowed, 7/14 valid (50%)
341.) mused, 7/14 valid (50%)
342.) opens, 7/14 valid (50%)
343.) paled, 7/14 valid (50%)
344.) pants, 7/14 valid (50%)
345.) pawls, 7/14 valid (50%)
346.) pawns, 7/14 valid (50%)
347.) payed, 7/14 valid (50%)
348.) pinks, 7/14 valid (50%)
349.) pinky, 7/14 valid (50%)
350.) pinto, 7/14 valid (50%)
351.) pitas, 7/14 valid (50%)
352.) piton, 7/14 valid (50%)
353.) plash, 7/14 valid (50%)
354.) radon, 7/14 valid (50%)
355.) raids, 7/14 valid (50%)
356.) ranis, 7/14 valid (50%)
357.) remit, 7/14 valid (50%)
358.) rowed, 7/14 valid (50%)
359.) satin, 7/14 valid (50%)
360.) shame, 7/14 valid (50%)
361.) sired, 7/14 valid (50%)
362.) spark, 7/14 valid (50%)
363.) spawn, 7/14 valid (50%)
364.) tared, 7/14 valid (50%)
365.) tares, 7/14 valid (50%)
366.) thens, 7/14 valid (50%)
367.) tired, 7/14 valid (50%)
368.) tires, 7/14 valid (50%)
369.) vowed, 7/14 valid (50%)
370.) wadis, 7/14 valid (50%)
371.) wares, 7/14 valid (50%)
372.) whits, 7/14 valid (50%)
373.) yawls, 7/14 valid (50%)
374.) yawns, 7/14 valid (50%)
375.) yetis, 7/14 valid (50%)
376.) yores, 7/14 valid (50%)
377.) llama, 6/12 valid (50%)
378.) madam, 6/12 valid (50%)
379.) shahs, 6/12 valid (50%)
380.) alas, 4/8 valid (50%)
381.) anon, 4/8 valid (50%)
382.) away, 4/8 valid (50%)
383.) ayah, 4/8 valid (50%)
384.) dads, 4/8 valid (50%)
385.) dido, 4/8 valid (50%)
386.) hath, 4/8 valid (50%)
387.) heme, 4/8 valid (50%)
388.) here, 4/8 valid (50%)
389.) hiss, 4/8 valid (50%)
390.) ibis, 4/8 valid (50%)
391.) imam, 4/8 valid (50%)
392.) kink, 4/8 valid (50%)
393.) maim, 4/8 valid (50%)
394.) matt, 4/8 valid (50%)
395.) midi, 4/8 valid (50%)
396.) mill, 4/8 valid (50%)
397.) miss, 4/8 valid (50%)
398.) pall, 4/8 valid (50%)
399.) piss, 4/8 valid (50%)
400.) psis, 4/8 valid (50%)
401.) pupa, 4/8 valid (50%)
402.) sash, 4/8 valid (50%)
403.) shes, 4/8 valid (50%)
404.) sins, 4/8 valid (50%)
405.) sits, 4/8 valid (50%)
406.) sops, 4/8 valid (50%)
407.) teat, 4/8 valid (50%)
408.) that, 4/8 valid (50%)
409.) tint, 4/8 valid (50%)
410.) tipi, 4/8 valid (50%)
411.) mama, 3/6 valid (50%)
412.) papa, 3/6 valid (50%)
413.) add, 2/4 valid (50%)
414.) ass, 2/4 valid (50%)
415.) bib, 2/4 valid (50%)
416.) dad, 2/4 valid (50%)
417.) did, 2/4 valid (50%)
418.) inn, 2/4 valid (50%)
419.) mum, 2/4 valid (50%)
420.) oho, 2/4 valid (50%)
421.) pap, 2/4 valid (50%)
422.) pip, 2/4 valid (50%)
423.) sis, 2/4 valid (50%)
424.) tat, 2/4 valid (50%)
425.) ad, 1/2 valid (50%)
426.) ah, 1/2 valid (50%)
427.) am, 1/2 valid (50%)
428.) an, 1/2 valid (50%)
429.) as, 1/2 valid (50%)
430.) at, 1/2 valid (50%)
431.) aw, 1/2 valid (50%)
432.) ax, 1/2 valid (50%)
433.) ay, 1/2 valid (50%)
434.) bi, 1/2 valid (50%)
435.) fa, 1/2 valid (50%)
436.) ha, 1/2 valid (50%)
437.) hi, 1/2 valid (50%)
438.) id, 1/2 valid (50%)
439.) if, 1/2 valid (50%)
440.) in, 1/2 valid (50%)
441.) is, 1/2 valid (50%)
442.) it, 1/2 valid (50%)
443.) la, 1/2 valid (50%)
444.) ma, 1/2 valid (50%)
445.) mi, 1/2 valid (50%)
446.) pa, 1/2 valid (50%)
447.) pi, 1/2 valid (50%)
448.) ti, 1/2 valid (50%)
449.) xi, 1/2 valid (50%)
450.) ya, 1/2 valid (50%)
451.) shallows, 16/33 valid (48.48%)
452.) splashes, 16/33 valid (48.48%)
453.) clashed, 13/27 valid (48.15%)
454.) flashed, 13/27 valid (48.15%)
455.) masking, 13/27 valid (48.15%)
456.) plashed, 13/27 valid (48.15%)
457.) abashes, 12/25 valid (48%)
458.) amended, 12/25 valid (48%)
459.) bemuses, 12/25 valid (48%)
460.) leashes, 12/25 valid (48%)
461.) hashish, 11/23 valid (47.83%)
462.) abided, 9/19 valid (47.37%)
463.) beaten, 9/19 valid (47.37%)
464.) bemuse, 9/19 valid (47.37%)
465.) bisons, 9/19 valid (47.37%)
466.) canton, 9/19 valid (47.37%)
467.) chitin, 9/19 valid (47.37%)
468.) dashed, 9/19 valid (47.37%)
469.) dished, 9/19 valid (47.37%)
470.) dishes, 9/19 valid (47.37%)
471.) eloped, 9/19 valid (47.37%)
472.) emends, 9/19 valid (47.37%)
473.) hallow, 9/19 valid (47.37%)
474.) masons, 9/19 valid (47.37%)
475.) mushes, 9/19 valid (47.37%)
476.) patent, 9/19 valid (47.37%)
477.) redone, 9/19 valid (47.37%)
478.) rehash, 9/19 valid (47.37%)
479.) scamps, 9/19 valid (47.37%)
480.) scants, 9/19 valid (47.37%)
481.) seared, 9/19 valid (47.37%)
482.) shaman, 9/19 valid (47.37%)
483.) shears, 9/19 valid (47.37%)
484.) slopes, 9/19 valid (47.37%)
485.) solids, 9/19 valid (47.37%)
486.) sorest, 9/19 valid (47.37%)
487.) stores, 9/19 valid (47.37%)
488.) teared, 9/19 valid (47.37%)
489.) themes, 9/19 valid (47.37%)
490.) theres, 9/19 valid (47.37%)
491.) titans, 9/19 valid (47.37%)
492.) fallowed, 16/34 valid (47.06%)
493.) maxima, 8/17 valid (47.06%)
494.) papaws, 8/17 valid (47.06%)
495.) pipits, 8/17 valid (47.06%)
496.) reared, 8/17 valid (47.06%)
497.) allowed, 12/26 valid (46.15%)
498.) ashamed, 12/26 valid (46.15%)
499.) aspires, 12/26 valid (46.15%)
500.) bemired, 12/26 valid (46.15%)
501.) bemires, 12/26 valid (46.15%)
502.) brasher, 12/26 valid (46.15%)
503.) cashews, 12/26 valid (46.15%)
504.) chitins, 12/26 valid (46.15%)
505.) crashes, 12/26 valid (46.15%)
506.) hallows, 12/26 valid (46.15%)
507.) mashers, 12/26 valid (46.15%)
508.) mislays, 12/26 valid (46.15%)
509.) panting, 12/26 valid (46.15%)
510.) paresis, 12/26 valid (46.15%)
511.) pleased, 12/26 valid (46.15%)
512.) resowed, 12/26 valid (46.15%)
513.) satires, 12/26 valid (46.15%)
514.) shallow, 12/26 valid (46.15%)
515.) sheared, 12/26 valid (46.15%)
516.) smasher, 12/26 valid (46.15%)
517.) swashed, 12/26 valid (46.15%)
518.) trashes, 12/26 valid (46.15%)
519.) aided, 6/13 valid (46.15%)
520.) anion, 6/13 valid (46.15%)
521.) aware, 6/13 valid (46.15%)
522.) bided, 6/13 valid (46.15%)
523.) blabs, 6/13 valid (46.15%)
524.) canon, 6/13 valid (46.15%)
525.) class, 6/13 valid (46.15%)
526.) dared, 6/13 valid (46.15%)
527.) didos, 6/13 valid (46.15%)
528.) donor, 6/13 valid (46.15%)
529.) doped, 6/13 valid (46.15%)
530.) eared, 6/13 valid (46.15%)
531.) eaten, 6/13 valid (46.15%)
532.) emend, 6/13 valid (46.15%)
533.) faded, 6/13 valid (46.15%)
534.) gaged, 6/13 valid (46.15%)
535.) gasps, 6/13 valid (46.15%)
536.) glass, 6/13 valid (46.15%)
537.) goops, 6/13 valid (46.15%)
538.) heres, 6/13 valid (46.15%)
539.) hewed, 6/13 valid (46.15%)
540.) hided, 6/13 valid (46.15%)
541.) honor, 6/13 valid (46.15%)
542.) kinks, 6/13 valid (46.15%)
543.) kinky, 6/13 valid (46.15%)
544.) laded, 6/13 valid (46.15%)
545.) maims, 6/13 valid (46.15%)
546.) mania, 6/13 valid (46.15%)
547.) mewed, 6/13 valid (46.15%)
548.) mills, 6/13 valid (46.15%)
549.) muses, 6/13 valid (46.15%)
550.) nohow, 6/13 valid (46.15%)
551.) palls, 6/13 valid (46.15%)
